date,new_confirmed_cases_est,new_confirmed_deaths_est
2026-05-14,8.0,4.0
2026-05-15,1.6666666666666667,0.0
2026-05-16,1.6666666666666667,0.0
2026-05-17,1.6666666666666667,0.0
2026-05-18,20.0,0.0
2026-05-19,18.0,0.0
2026-05-20,13.0,2.0
2026-05-21,19.0,3.0
2026-05-22,8.0,1.0
2026-05-23,10.0,0.0
2026-05-24,4.0,0.0
2026-05-25,1.0,2.0
2026-05-26,15.0,5.0
2026-05-27,4.0,0.0
2026-05-28,85.0,0.0
2026-05-29,53.0,25.0
2026-05-30,19.0,0.0
2026-05-31,39.0,6.0
2026-06-01,23.0,12.0
2026-06-02,19.0,2.0
2026-06-03,18.0,2.0
2026-06-04,71.0,18.0
2026-06-05,36.0,4.0
2026-06-06,27.0,5.0
2026-06-07,35.0,10.0
2026-06-08,48.0,14.0
2026-06-09,37.0,12.0
2026-06-10,41.0,9.0
2026-06-11,13.0,3.0
2026-06-12,46.5,21.0
2026-06-13,46.5,21.0
2026-06-14,26.0,11.0
2026-06-15,29.0,4.0
2026-06-16,38.0,6.0
2026-06-17,21.0,30.0
2026-06-18,37.0,13.0
2026-06-19,23.0,2.0
2026-06-20,47.0,7.0
2026-06-21,45.0,13.0
2026-06-22,46.0,10.0
2026-06-23,24.0,14.0
2026-06-24,37.0,13.0
2026-06-25,48.0,17.0
2026-06-26,35.5,19.5
2026-06-27,35.5,19.5
2026-06-28,29.5,19.5
2026-06-29,29.5,19.5
2026-06-30,73.0,39.0
2026-07-01,54.0,14.0
2026-07-02,42.0,21.0
2026-07-03,26.0,19.0
2026-07-04,33.0,14.0
2026-07-05,63.0,15.0
2026-07-06,84.0,59.0
2026-07-07,51.0,20.0
2026-07-08,33.0,25.0
2026-07-09,38.0,23.0
2026-07-10,43.0,24.0
2026-07-11,53.0,30.0
2026-07-12,42.5,26.0
2026-07-13,42.5,26.0
2026-07-14,56.5,37.0
2026-07-15,56.5,37.0
2026-07-16,71.5,32.5
2026-07-17,71.5,32.5
2026-07-18,77.0,37.0
2026-07-19,79.0,37.0
2026-07-20,50.0,32.0
2026-07-21,216.0,135.0
2026-07-22,216.0,135.0
2026-07-23,68.0,40.0
2026-07-24,113.5,48.0
2026-07-25,113.5,48.0
2026-07-26,62.0,32.0
2026-07-27,98.0,50.0
2026-07-28,81.66666666666667,33.333333333333336
2026-07-29,81.66666666666667,33.333333333333336
2026-07-30,81.66666666666667,33.333333333333336
2026-07-31,69.0,34.0
2026-08-01,74.0,36.0
2026-08-02,54.0,50.0
2026-08-03,72.0,44.0
2026-08-04,99.0,50.0
2026-08-05,59.0,28.75
2026-08-06,59.0,28.75
2026-08-07,59.0,28.75
2026-08-08,59.0,28.75
2026-08-09,172.0,95.0
2026-08-10,68.0,50.0
2026-08-11,117.0,67.0
2026-08-12,94.75,49.25
2026-08-13,94.75,49.25
2026-08-14,94.75,49.25
2026-08-15,94.75,49.25
2026-08-16,80.0,47.5
2026-08-17,80.0,47.5
2026-08-18,92.5,48.0
2026-08-19,92.5,48.0
2026-08-20,85.0,41.0
2026-08-21,69.5,42.5
2026-08-22,69.5,42.5
2026-08-23,71.0,36.5
2026-08-24,71.0,36.5
2026-08-25,57.0,40.0
